Student_ID,Location_Name,Building_Name,Floor,X_Coordinate,Y_Coordinate,Foot_Traffic_Density,Timestamp,Event
1,Main Library,Main Gate,2,92.04,59.21,High,2025-05-16 14:04:00,
2,Student Lounge,Cultural Hall,3,17.48,77.17,High,2025-05-16 8:32:00,Orientation
3,Student Lounge,Student Center,3,90.25,97.25,Low,2025-05-16 17:22:00,
4,Cafeteria,Engineering Block,3,86.38,49.86,Low,2025-05-16 14:21:00,Sports Event
5,Garden Area,Student Center,2,37.64,75.63,High,2025-05-16 11:12:00,Orientation
6,Student Lounge,Main Gate,1,42.15,88.64,High,2025-05-16 14:49:00,Sports Event
7,Admin Office,Student Center,3,12.89,2.72,Low,2025-05-16 17:42:00,Class Break
8,Student Lounge,Engineering Block,0,31.59,63.38,Medium,2025-05-16 11:20:00,Class Break
9,Gymnasium,Engineering Block,1,42.75,21.2,Medium,2025-05-16 8:28:00,
10,Student Lounge,Engineering Block,2,56.96,22.4,Medium,2025-05-16 8:35:00,
11,Garden Area,Academic Block A,1,2.71,78.25,Low,2025-05-16 12:30:00,Lunch Time
12,Lecture Hall A,Academic Block B,2,90.29,38.56,High,2025-05-16 8:32:00,
13,Gymnasium,Academic Block A,1,7.58,68.65,Medium,2025-05-16 15:29:00,
14,Auditorium,Cultural Hall,0,51.01,18.44,Low,2025-05-16 8:55:00,Class Break
15,Student Lounge,Engineering Block,0,94.4,58.96,Medium,2025-05-16 9:04:00,Sports Event
16,Main Library,Main Gate,0,75.39,98.13,High,2025-05-16 10:43:00,
17,Cafeteria,Student Center,2,96.68,52.68,High,2025-05-16 8:32:00,Orientation
18,Lecture Hall B,Student Center,0,26.35,2.6,Medium,2025-05-16 17:50:00,
19,Admin Office,Engineering Block,0,31.25,16.52,Medium,2025-05-16 9:05:00,
20,Admin Office,Engineering Block,2,63.12,83.87,High,2025-05-16 8:15:00,Lunch Time
21,Lecture Hall B,Academic Block A,0,69.59,75.28,Medium,2025-05-16 11:01:00,
22,Parking Area,Student Center,3,55.25,20.32,High,2025-05-16 14:58:00,
23,Student Lounge,Engineering Block,0,39.02,89.43,Medium,2025-05-16 8:18:00,Seminar
24,Admin Office,Academic Block B,0,90.2,61.39,Low,2025-05-16 14:23:00,Seminar
25,Garden Area,Main Gate,1,12.47,33.22,High,2025-05-16 14:21:00,Sports Event
26,Parking Area,Student Center,1,28.57,80.73,High,2025-05-16 10:04:00,Seminar
27,Main Library,Student Center,1,3.74,76.4,Low,2025-05-16 9:03:00,Orientation
28,Lecture Hall B,Engineering Block,3,58.34,32.7,Low,2025-05-16 10:57:00,Class Break
29,Gymnasium,Main Gate,3,54.65,94.31,Medium,2025-05-16 9:22:00,
